,id,name,start_date,changed_company_id,parent,change_date
0,1,Electronic Arts,391392000,5,,
1,2,BioWare,791596800,,1,
2,4,Eidos Interactive,833500800,4940,26,1257724800
3,5,Interplay Entertainment,441676800,,,
4,8,2K Games,1106611200,,139,
5,10,LucasArts,662601600,,13016,
6,12,Black Isle Studios,828230400,,,
7,17,Digital Extremes,757296000,,,
8,19,Arkane Studios,922838400,,245,
9,23,Feral Interactive,851990400,,,
10,24,Sierra Entertainment,291686400,,,1230681600
11,26,Square Enix,1049155200,,,
12,29,Rockstar Games,,,139,883612800
13,32,Sierra On-Line,283996800,24,147,1014076800
14,36,Frictional Games,1167523200,,,
15,37,Capcom,296870400,,,
16,38,Ubisoft Montreal,859852800,,104,
17,41,Riot Games,1156982400,,3595,
18,42,Tencent Holdings,915062400,,,
19,45,"Sony Computer Entertainment, Inc. (SCEI)",753408000,10100,10282,1459468800
20,47,Obsidian Entertainment,1072828800,,17966,
21,50,WB Games,757296000,,,
22,51,Blizzard Entertainment,765072000,,179,
23,53,Microsoft Game Studios,1009843200,1010,128,1325289600
24,54,TransGaming Technologies,,,,
25,56,Valve,840844800,,,
26,58,Mojang Studios,1241136000,,17966,
27,60,Climax Group,,,,
28,61,Gameloft,915148800,,,
29,66,Activision,307584000,,179,
30,67,Petroglyph Games,1049155200,,,
31,70,Nintendo,-2533161600,,,
32,72,Vicarious Visions,662601600,45512,66,1648771200
33,73,Aspyr Media,828230400,,,
34,74,CyberFront,-62135683200,,5191,-62135683200
35,80,Vivendi Games,1167523200,179,0,1215561600
36,81,Destination Software,,,,
37,82,Atari,70848000,,,
38,85,Double Fine Productions,962409600,,17966,
39,87,Mythic Entertainment,878342400,,,1401321600
40,92,NovaLogic,492220800,,,1475280000
41,95,Disney Interactive,599529600,,,1462838400
42,99,The 3DO Company,694137600,,,1051747200
43,100,Nival Interactive,,,,
44,101,Freeverse Software,,,,
45,104,Ubisoft Entertainment,512352000,,,
46,107,Lego Media,,,,
47,108,Techland,694137600,,,
48,110,Focus Entertainment,851990400,,,
49,112,Sega,-302313600,,,
50,115,Codemasters,504921600,,1,
51,116,Bohemia Interactive Studio,938649600,,,
52,120,MacPlay,,,,
53,126,Bethesda Game Studios,1009756800,,16565,
54,127,Funcom Productions,,,,
55,128,Microsoft,165801600,,,
56,129,Konami,-24710400,,,
57,130,MacSoft Games,757296000,,132,
58,131,Robot Entertainment,1262217600,,,
59,132,Destineer,946684800,,,
60,135,Sunflowers,,,,
61,139,Take-Two Interactive,757296000,,,
62,141,Virgin Interactive Entertainment (Europe) Ltd.,441676800,,,1072828800
63,144,GSC Game World,820368000,,,
64,145,cdv Software Entertainment,978220800,,,1293753600
65,146,Strategy First,662601600,,,
66,147,Vivendi Universal,,,,
67,148,Gearbox Software,919123200,,42845,
